STABBR,YEAR,dispensary,marij_related_words
OR,2010,0.3333333333333333,23.88888888888889
OR,2011,0.8333333333333334,24.666666666666668
OR,2012,0.6666666666666666,25.444444444444446
OR,2013,1,19.22222222222222
OR,2014,2.0833333333333335,19.61111111111111
OR,2015,6.083333333333333,29.77777777777778
OR,2016,14.5,38.138888888888886
OR,2017,14.333333333333334,38.91666666666667
OR,2018,15.916666666666666,42.94444444444444
OR,2019,18.833333333333332,43.72222222222222
OR,2020,19.333333333333332,41.55555555555556
OR,2021,20.083333333333332,37.44444444444444
PA,2004,0,17.805555555555557
PA,2005,0,17.305555555555557
PA,2006,0,17.694444444444443
PA,2007,0,18.02777777777778
PA,2008,0,20.25
PA,2009,0,23.61111111111111
PA,2010,0,24.166666666666668
PA,2011,0,26.38888888888889
PA,2012,0,27.25
PA,2013,0,28.72222222222222
PA,2014,0.16666666666666666,30.77777777777778
PA,2015,0.6666666666666666,29.694444444444443
PA,2016,1,31
PA,2017,1.25,32.86111111111111
PA,2018,4.416666666666667,39.05555555555556
PA,2019,11.916666666666666,41.27777777777778
PA,2020,21.083333333333332,43.69444444444444
PA,2021,25.166666666666668,38.861111111111114
RI,2004,0,25.166666666666668
RI,2005,0.16666666666666666,23.11111111111111
RI,2006,0,23.36111111111111
RI,2007,0.25,24.72222222222222
RI,2008,0,28.527777777777775
RI,2009,0.5833333333333334,34.97222222222222
RI,2010,0.4166666666666667,35.86111111111111
RI,2011,0.5,36.22222222222222
RI,2012,0.5833333333333334,36.861111111111114
RI,2013,0.5833333333333334,38.80555555555556
RI,2014,1,40.94444444444444
RI,2015,1.75,39.138888888888886
RI,2016,3.0833333333333335,40.55555555555556
RI,2017,5.083333333333333,42.25
RI,2018,9.916666666666666,46.27777777777778
RI,2019,22.25,47.80555555555556
RI,2020,23.5,46.66666666666667
RI,2021,31.416666666666668,44.02777777777778
SC,2004,0.6666666666666666,19.583333333333332
SC,2005,0.3333333333333333,19.944444444444443
SC,2006,0.08333333333333333,17.86111111111111
SC,2007,0.08333333333333333,20.02777777777778
SC,2008,0,20.86111111111111
SC,2009,0.25,25.47222222222222
SC,2010,0.3333333333333333,27.27777777777778
SC,2011,0.5833333333333334,28.97222222222222
SC,2012,0.25,30.25
SC,2013,0.9166666666666666,31.72222222222222
SC,2014,1,34.47222222222222
SC,2015,1.4166666666666667,35.5
SC,2016,1.0833333333333333,33.083333333333336
SC,2017,1.5833333333333333,36.05555555555556
SC,2018,2.25,40.47222222222222
SC,2019,2.9166666666666665,40.27777777777778
