Jurisdictions,Year,url
Colorado,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Colorado.html
Connecticut,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Connecticut.html
Delaware,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Delaware.html
District of Columbia,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/District-of-Columbia.html
Florida,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Florida.html
Georgia,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Georgia.html
Hawaii,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Hawaii.html
Idaho,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Idaho.html
Illinois,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Illinois.html
Indiana,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Indiana.html
Iowa,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Iowa.html
Kansas,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Kansas.html
Kentucky,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Kentucky.html
Louisiana,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Louisiana.html
Maine,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Maine.html
Maryland,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Maryland.html
Massachusetts,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Massachusetts.html
Michigan,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Michigan.html
Minnesota,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Minnesota.html
Mississippi,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Mississippi.html
Missouri,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Missouri.html
Montana,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Montana.html
Nebraska,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Nebraska.html
Nevada,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Nevada.html
New Hampshire,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/New-Hampshire.html
New Jersey,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/New-Jersey.html
New Mexico,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/New-Mexico.html
New York,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/New-York.html
North Carolina,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/North-Carolina.html
North Dakota,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/North-Dakota.html
Ohio,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Ohio.html
Oklahoma,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Oklahoma.html
Oregon,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Oregon.html
